,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
TRAV11,0.022966666666666666,0.0002798459960075925,0.011730515191545575,0.00039595244397414345,0.012970690261927506,0.0008127400761875061,0.0065673128813981485,0.00023427226548192244,0.012870357956830674,0.0004996695913025349,0.02265659706796979,0.0014347938385976104,0.009366235927163426,0.0003561736348006563,0.0052873563218390806,0.0011054007915905458
TRAV13D-3,0.02293,0.00027961750600895264,0.015640686922060765,0.0004580891621092315,0.014680006032879191,0.000865365067189895,0.011274855743285317,0.000307677482621727,0.009614463830846723,0.0004311724397432635,0.00888494002665482,0.0008924323819091617,0.012506206137702454,0.00041220805448556917,0.011264367816091954,0.0016182333064525094
TRAV6-7/DV9,0.02088,0.00026655815125409314,0.01892998678996037,0.0005047768015831274,0.018500829520888846,0.0009733028284919456,0.016713022541408943,0.00037560581271644177,0.018328768697450825,0.0005978900531417339,0.022567747667703243,0.0014319155466044104,0.01945708036445124,0.0005159149879301916,0.015632183908045976,0.001910440105868426
TRAV7N-5,0.0205,0.00026407227546008434,0.024372523117569354,0.0005742900159902895,0.02141672113015937,0.0010486961262140297,0.020058948067582714,0.00041216615225906787,0.014383391109493803,0.0005286185343044189,0.014571301643713905,0.0011460873301789886,0.020906297384700026,0.0005351633189863703,0.01632183908045977,0.0019527900176931168
TRAV3-3,0.020073333333333332,0.000261255124635189,0.013381770145310437,0.0004232484603024326,0.014730280026142477,0.0008668670645815765,0.015691809539623895,0.00036376683487084267,0.012200026813245743,0.000486322363736562,0.01083962683251888,0.0009866782284347283,0.0226238879272171,0.000557181158866076,0.01885057471264368,0.0021012267287074545
TRAV14-1,0.019503333333333334,0.0002574471683306722,0.024795244385733158,0.0005793684044569374,0.021165351163842945,0.0010423953509371136,0.03450537589771265,0.0005443965564183599,0.034569934690594294,0.0008276369710658734,0.03713904931141715,0.0018499548734437134,0.023670544664063445,0.0005702155602727372,0.02574712643678161,0.0024639954916986125
TRAV1,0.01908,0.00025458493278275525,0.009920739762219287,0.0003638042217351224,0.009501784726760847,0.0006944289698565194,0.007845904769811948,0.00025622658953975054,0.0035814835385823453,0.00026237259820128286,0.004264771212794314,0.0006168779309741508,0.005300377064798787,0.00026739676018675007,0.007126436781609196,0.001284498460450299
TRAV8-2,0.018126666666666666,0.0002480271672694419,0.008982826948480845,0.00034601941226664246,0.010658086571816399,0.000735890913921441,0.011258250653825397,0.00030744830833663025,0.005898914063547392,0.00033711174274452405,0.00595290981785873,0.0007294251403510337,0.014827637105323189,0.0004493522829233008,0.01839080459770115,0.002074975490310972
TRAV7-4,0.017773333333333332,0.00024555532106575027,0.017424042272126815,0.0004839243955659597,0.015233019958775325,0.0008817542550953485,0.020349537133131305,0.0004152000198151663,0.028709325263823186,0.0007520877373181093,0.016703687250111062,0.001228374025707712,0.011298525287495136,0.0003915663863891346,0.010344827586206896,0.0015500717850633504
TRAV9D-3,0.016043333333333333,0.00023310027797622334,0.007186261558784677,0.0003092135144889609,0.008244934895178723,0.0006464699333476077,0.009381875544854498,0.0002804001211388632,0.014823894432421044,0.0005367686900671151,0.008796090626388272,0.000887919907693557,0.007863344202460985,0.0003261063860849506,0.004597701149425287,0.0010304379166477964
TRAV4-3,0.01595,0.00023241057420005657,0.018480845442536326,0.0004986426369686029,0.019556583379417826,0.00100120693674897,0.017817260990493588,0.0003880261446423946,0.020856874724685424,0.000638583542267418,0.020613060861839182,0.001367190569165542,0.010251868550648793,0.00037279594599556957,0.00896551724137931,0.0014420529539581719
